Date,Close,Open,High,Low,Volume,Type
2018-01-03,1404.0,1399.0,1399.0,1399.0,0.0,Gold
2018-01-04,1407.3,1407.3,1407.3,1407.3,0.0,Gold
2018-01-05,1408.3,1408.3,1408.3,1408.3,0.0,Gold
2018-01-08,1407.4,1407.4,1407.4,1407.4,40.0,Gold
2018-01-09,1401.3,1398.0,1398.0,1398.0,0.0,Gold
2018-01-10,1408.3,1408.3,1408.3,1408.3,0.0,Gold
2018-01-11,1411.4,1411.4,1411.4,1411.4,10.0,Gold
2018-01-12,1425.7,1425.7,1425.7,1425.7,10.0,Gold
2018-01-14,1337.4,1337.7,1338.6,1336.4,0.0,Gold
2018-01-15,1341.8,1337.3,1344.9,1337.0,0.0,Gold
2018-01-16,1428.1,1428.1,1428.1,1428.1,10.0,Gold
2018-01-17,1431.0,1431.0,1431.0,1431.0,30.0,Gold
2018-01-18,1419.0,1419.0,1419.0,1419.0,210.0,Gold
2018-01-19,1425.9,1425.9,1425.9,1425.9,50.0,Gold
2018-01-22,1429.6,1429.6,1429.6,1429.6,160.0,Gold
2018-01-23,1434.2,1434.2,1434.2,1434.2,50.0,Gold
2018-01-24,1456.3,1456.3,1456.3,1456.3,20.0,Gold
2018-01-25,1463.1,1463.1,1463.1,1463.1,0.0,Gold
2018-01-26,1453.7,1453.7,1453.7,1453.7,50.0,Gold
2018-01-29,1441.3,1441.3,1441.3,1441.3,0.0,Gold
2018-01-30,1436.2,1436.2,1436.2,1436.2,52100.0,Gold
2018-01-31,1439.4,1439.4,1439.4,1439.4,4880.0,Gold
2018-02-01,1445.1,1445.1,1445.1,1445.1,1680.0,Gold
2018-02-02,1434.6,1434.6,1434.6,1434.6,2840.0,Gold
2018-02-05,1432.9,1432.9,1432.9,1432.9,640.0,Gold
2018-02-06,1425.4,1425.4,1425.4,1425.4,530.0,Gold
2018-02-07,1410.7,1410.7,1410.7,1410.7,490.0,Gold
2018-02-08,1414.8,1414.8,1414.8,1414.8,460.0,Gold
2018-02-09,1410.1,1410.1,1410.1,1410.1,0.0,Gold
2018-02-12,1420.9,1420.9,1420.9,1420.9,140.0,Gold
2018-02-13,1424.8,1424.8,1424.8,1424.8,70.0,Gold
2018-02-14,1452.9,1452.9,1452.9,1452.9,400.0,Gold
2018-02-15,1451.5,1451.5,1451.5,1451.5,110.0,Gold
2018-02-16,1452.8,1452.8,1452.8,1452.8,110.0,Gold
2018-02-18,1350.5,1349.7,1352.4,1349.7,0.0,Gold
2018-02-19,1347.8,1350.4,1353.9,1347.4,0.0,Gold
2018-02-20,1428.4,1428.4,1428.4,1428.4,280.0,Gold
2018-02-21,1430.6,1430.6,1430.6,1430.6,120.0,Gold
2018-02-22,1431.4,1431.4,1431.4,1431.4,70.0,Gold
2018-02-23,1429.0,1429.0,1429.0,1429.0,430.0,Gold
2018-02-26,1433.1,1433.1,1433.1,1433.1,40.0,Gold
2018-02-27,1419.6,1419.6,1419.6,1419.6,50.0,Gold
2018-02-28,1419.2,1419.2,1419.2,1419.2,60.0,Gold
2018-03-01,1406.0,1406.0,1406.0,1406.0,40.0,Gold
2018-03-02,1424.2,1424.2,1424.2,1424.2,160.0,Gold
2018-03-05,1420.5,1420.5,1420.5,1420.5,20.0,Gold
2018-03-06,1435.9,1435.9,1435.9,1435.9,20.0,Gold
2018-03-07,1427.9,1427.9,1427.9,1427.9,30.0,Gold
2018-03-08,1423.7,1423.7,1423.7,1423.7,60.0,Gold
2018-03-09,1428.0,1428.0,1428.0,1428.0,90.0,Gold
2018-03-12,1424.8,1424.8,1424.8,1424.8,0.0,Gold
2018-03-13,1431.4,1433.4,1433.4,1433.4,0.0,Gold
2018-03-14,1429.7,1429.7,1429.7,1429.7,30.0,Gold
2018-03-15,1421.7,1421.7,1421.7,1421.7,100.0,Gold
2018-03-16,1416.3,1416.3,1416.3,1416.3,30.0,Gold
2018-03-19,1421.7,1421.7,1421.7,1421.7,10.0,Gold
2018-03-20,1416.2,1416.2,1416.2,1416.2,0.0,Gold
2018-03-21,1426.6,1426.6,1426.6,1426.6,10.0,Gold
2018-03-22,1432.2,1432.2,1432.2,1432.2,0.0,Gold
2018-03-23,1455.0,1455.0,1455.0,1455.0,10.0,Gold
2018-03-26,1461.0,1461.0,1461.0,1461.0,10.0,Gold
2018-03-27,1447.8,1447.8,1447.8,1447.8,10.0,Gold
2018-03-28,1428.9,1428.9,1428.9,1428.9,59280.0,Gold
2018-03-29,1426.0,1426.0,1426.0,1426.0,5590.0,Gold
2018-04-02,1445.8,1445.8,1445.8,1445.8,650.0,Gold
2018-04-03,1436.5,1436.5,1436.5,1436.5,700.0,Gold
2018-04-04,1439.7,1439.7,1439.7,1439.7,720.0,Gold
2018-04-05,1428.1,1428.1,1428.1,1428.1,260.0,Gold
2018-04-06,1435.9,1435.9,1435.9,1435.9,350.0,Gold
2018-04-09,1439.6,1439.6,1439.6,1439.6,290.0,Gold
2018-04-10,1445.5,1445.5,1445.5,1445.5,110.0,Gold
2018-04-11,1460.0,1460.0,1460.0,1460.0,0.0,Gold
2018-04-12,1441.4,1441.4,1441.4,1441.4,30.0,Gold
2018-04-13,1447.9,1447.9,1447.9,1447.9,70.0,Gold
2018-04-16,1450.6,1450.6,1450.6,1450.6,60.0,Gold
2018-04-17,1449.3,1449.3,1449.3,1449.3,410.0,Gold
2018-04-18,1453.5,1460.1,1460.1,1460.1,0.0,Gold
2018-04-19,1448.8,1453.0,1453.0,1453.0,0.0,Gold
2018-04-20,1438.2,1442.0,1442.0,1442.0,0.0,Gold
2018-04-23,1424.0,1424.0,1424.0,1424.0,10.0,Gold
2018-04-24,1433.1,1433.1,1433.1,1433.1,30.0,Gold
2018-04-25,1422.9,1422.9,1422.9,1422.9,280.0,Gold
2018-04-26,1418.0,1418.0,1418.0,1418.0,10.0,Gold
2018-04-27,1423.6,1423.6,1423.6,1423.6,620.0,Gold
2018-04-30,1419.1,1419.1,1419.1,1419.1,50.0,Gold
2018-05-01,1406.4,1406.4,1406.4,1406.4,30.0,Gold
2018-05-02,1405.3,1405.3,1405.3,1405.3,20.0,Gold
2018-05-03,1412.4,1412.4,1412.4,1412.4,0.0,Gold
2018-05-04,1414.7,1414.7,1414.7,1414.7,40.0,Gold
2018-05-07,1414.2,1414.2,1414.2,1414.2,0.0,Gold
2018-05-08,1413.8,1413.8,1413.8,1413.8,340.0,Gold
2018-05-09,1413.0,1413.5,1413.5,1413.3,30.0,Gold
2018-05-10,1422.1,1422.1,1422.1,1422.1,10.0,Gold
2018-05-11,1420.4,1420.4,1420.4,1420.4,0.0,Gold
2018-05-14,1417.9,1417.9,1417.9,1417.9,0.0,Gold
2018-05-15,1389.8,1405.3,1405.3,1405.3,0.0,Gold
2018-05-16,1392.1,1392.1,1392.1,1392.1,30.0,Gold
2018-05-17,1390.0,1390.0,1390.0,1390.0,0.0,Gold
2018-05-18,1391.3,1391.3,1391.3,1391.3,0.0,Gold
2018-05-21,1391.1,1391.1,1391.1,1391.1,50.0,Gold
2018-05-22,1392.1,1392.1,1392.1,1392.1,50.0,Gold
2018-05-23,1389.2,1389.2,1389.2,1389.2,10.0,Gold
2018-05-24,1404.2,1404.2,1404.2,1404.2,20.0,Gold
2018-05-25,1403.2,1403.2,1403.2,1403.2,0.0,Gold
2018-05-27,1298.3,1299.8,1299.9,1296.1,0.0,Gold
2018-05-28,1297.6,1298.4,1299.7,1294.7,0.0,Gold
2018-05-29,1393.7,1393.7,1393.7,1393.7,80.0,Gold
2018-05-30,1396.7,1396.7,1396.7,1396.7,50850.0,Gold
2018-05-31,1395.0,1395.0,1395.0,1395.0,4080.0,Gold
2018-06-01,1390.1,1392.4,1392.4,1392.4,0.0,Gold
2018-06-04,1389.5,1389.6,1390.5,1389.6,0.0,Gold
2018-06-05,1394.5,1394.5,1394.5,1394.5,360.0,Gold
2018-06-06,1393.9,1393.9,1393.9,1393.9,30.0,Gold
2018-06-07,1394.8,1394.8,1394.8,1394.8,80.0,Gold
2018-06-08,1394.8,1394.8,1394.8,1394.8,650.0,Gold
2018-06-11,1395.9,1395.9,1395.9,1395.9,70.0,Gold
2018-06-12,1392.2,1392.2,1392.2,1392.2,150.0,Gold
2018-06-13,1393.9,1393.9,1393.9,1393.9,140.0,Gold
2018-06-14,1401.0,1401.0,1401.0,1401.0,50.0,Gold
2018-06-15,1369.7,1369.7,1369.7,1369.7,590.0,Gold
2018-06-18,1371.5,1371.5,1371.5,1371.5,40.0,Gold
2018-06-19,1369.6,1369.6,1369.6,1369.6,30.0,Gold
2018-06-20,1365.7,1376.8,1376.8,1376.8,0.0,Gold
2018-06-21,1361.4,1360.0,1360.0,1360.0,0.0,Gold
2018-06-22,1361.7,1365.0,1365.0,1365.0,0.0,Gold
2018-06-25,1359.6,1353.7,1353.7,1353.7,0.0,Gold
2018-06-26,1350.0,1350.0,1350.0,1350.0,90.0,Gold
2018-06-27,1345.5,1345.5,1345.5,1345.5,10.0,Gold
2018-06-28,1340.0,1340.0,1340.0,1340.0,380.0,Gold
2018-06-29,1343.7,1343.7,1343.7,1343.7,50.0,Gold
2018-07-02,1329.7,1329.7,1329.7,1329.7,30.0,Gold
