Date,Close,Open,High,Low,Volume
2017-06-13,46.46,46.01,46.57,45.56,783320.0
2017-06-14,44.73,45.94,46.49,44.54,924408.0
2017-06-15,44.46,44.69,44.81,44.22,500938.0
2017-06-16,44.74,44.25,44.94,44.24,191824.0
2017-06-17,44.56,44.39,44.98,44.18,169197.0
2017-06-18,44.38,44.54,45.02,44.11,146570.0
2017-06-19,44.2,44.68,45.06,44.05,123943.0
2017-06-20,43.23,44.11,44.4,42.75,894104.0
2017-06-21,42.53,43.38,44.2,42.05,1071747.0
2017-06-22,42.74,42.55,43.32,42.26,668830.0
2017-06-23,43.01,42.8,43.2,42.53,690906.0
2017-06-24,43.13,42.92,43.35,42.56,681055.33
2017-06-25,43.26,43.04,43.5,42.6,671204.67
2017-06-26,43.38,43.16,43.65,42.63,661354.0
2017-06-27,44.24,43.49,44.44,43.32,759115.0
2017-06-28,44.74,43.7,44.9,43.67,753375.0
2017-06-29,44.93,44.89,45.45,44.65,768946.0
2017-06-30,46.04,44.89,46.35,44.88,677408.0
2017-07-01,45.86,45.32,46.54,44.81,776642.6
2017-07-02,45.68,45.75,46.74,44.73,875877.2
2017-07-03,45.49,46.18,46.93,44.66,975111.8
2017-07-04,45.31,46.61,47.13,44.58,1074346.4
2017-07-05,45.13,47.04,47.32,44.51,1173581.0
2017-07-06,45.52,45.65,46.53,45.18,969676.0
2017-07-07,44.23,45.35,45.42,43.78,975914.0
2017-07-08,44.29,45.02,45.23,43.74,933466.0
2017-07-09,44.34,44.68,45.03,43.69,891018.0
2017-07-10,44.4,44.35,44.84,43.65,848570.0
2017-07-11,45.04,44.58,45.81,43.83,1010691.0
2017-07-12,45.49,45.74,46.48,45.11,963505.0
2017-07-13,46.08,45.44,46.28,44.99,748971.0
2017-07-14,46.54,46.08,46.74,45.8,742895.0
2017-07-15,46.37,46.28,46.79,45.83,682141.0
2017-07-16,46.19,46.48,46.83,45.86,621387.0
2017-07-17,46.02,46.68,46.88,45.89,560633.0
2017-07-18,46.4,45.99,46.92,45.81,208420.0
2017-07-19,47.12,46.25,47.26,46.14,140677.0
2017-07-20,46.79,47.09,47.55,46.66,720621.0
2017-07-21,45.77,46.91,47.21,45.54,769438.0
2017-07-22,45.96,46.48,46.98,45.49,748928.67
2017-07-23,46.15,46.05,46.76,45.45,728419.33
2017-07-24,46.34,45.62,46.53,45.4,707910.0
2017-07-25,47.89,46.46,48.66,46.38,885700.0
2017-07-26,48.75,48.51,48.87,47.86,887864.0
2017-07-27,49.04,48.7,49.24,48.25,880757.0
2017-07-28,49.71,49.17,49.81,48.86,771225.0
2017-07-29,49.86,49.4,50.01,48.97,774663.0
2017-07-30,50.02,49.62,50.21,49.07,778101.0
2017-07-31,50.17,49.85,50.41,49.18,781539.0
2017-08-01,49.16,50.21,50.43,48.37,1008583.0
2017-08-02,49.59,48.8,49.65,48.55,847722.0
2017-08-03,49.03,49.59,49.96,48.78,837763.0
2017-08-04,49.58,48.95,49.64,48.5,745664.0
2017-08-05,49.52,49.16,49.67,48.51,774234.0
2017-08-06,49.45,49.38,49.7,48.53,802804.0
2017-08-07,49.39,49.59,49.73,48.54,831374.0
2017-08-08,49.17,49.31,49.79,48.86,924240.0
2017-08-09,49.56,49.0,49.72,48.9,858250.0
2017-08-10,48.59,49.68,50.22,48.35,1135440.0
2017-08-11,48.82,48.52,48.98,47.98,804237.0
2017-08-12,48.41,48.61,49.04,47.8,790571.67
2017-08-13,48.0,48.7,49.1,47.61,776906.33
2017-08-14,47.59,48.79,49.16,47.43,763241.0
2017-08-15,47.55,47.49,47.9,47.02,770358.0
2017-08-16,46.78,47.72,47.99,46.67,815544.0
2017-08-17,47.09,46.8,47.19,46.46,608314.0
2017-08-18,48.51,46.93,48.74,46.78,253069.0
2017-08-19,48.13,47.53,48.74,46.86,211776.67
2017-08-20,47.75,48.12,48.75,46.95,170484.33
2017-08-21,47.37,48.72,48.75,47.03,129192.0
2017-08-22,47.64,47.45,48.03,47.2,864387.0
2017-08-23,48.41,47.64,48.5,47.53,701693.0
2017-08-24,47.43,48.36,48.43,47.06,831358.0
2017-08-25,47.87,47.62,47.91,47.39,646518.0
2017-08-26,47.44,47.71,48.01,46.98,738107.0
2017-08-27,47.0,47.8,48.1,46.56,829696.0
2017-08-28,46.57,47.89,48.2,46.15,921285.0
2017-08-29,46.44,46.86,46.96,45.76,895643.0
2017-08-30,45.96,46.31,46.72,45.84,895643.0
2017-08-31,47.23,45.95,47.47,45.58,882983.0
2017-09-01,47.29,47.08,47.35,46.56,915708.0
2017-09-02,47.63,47.13,47.76,46.71,872483.0
2017-09-03,47.98,47.18,48.16,46.86,829258.0
2017-09-04,48.32,47.23,48.57,47.0,786033.0
2017-09-05,48.66,47.28,48.98,47.15,742808.0
2017-09-06,49.16,48.59,49.42,48.52,788963.0
2017-09-07,49.09,49.14,49.33,48.63,702514.0
2017-09-08,47.48,49.09,49.26,47.27,843760.0
2017-09-09,47.68,48.59,48.93,47.18,820662.67
2017-09-10,47.87,48.08,48.6,47.09,797565.33
2017-09-11,48.07,47.58,48.27,47.0,774468.0
2017-09-12,48.23,48.12,48.44,47.73,676040.0
2017-09-13,49.3,48.34,49.4,48.12,706925.0
2017-09-14,49.89,49.31,50.5,49.15,709035.0
2017-09-15,49.89,49.72,50.13,49.41,433597.0
2017-09-16,49.9,49.76,50.2,49.34,352266.33
2017-09-17,49.9,49.81,50.26,49.26,270935.67
2017-09-18,49.91,49.85,50.33,49.19,189605.0
2017-09-19,49.48,49.91,50.42,49.33,143379.0
2017-09-20,50.41,49.84,50.65,49.75,754413.0
2017-09-21,50.55,50.72,50.81,50.07,580569.0
2017-09-22,50.66,50.73,50.78,50.29,473795.0
2017-09-23,51.18,50.71,51.28,50.32,549611.33
2017-09-24,51.7,50.7,51.78,50.36,625427.67
2017-09-25,52.22,50.68,52.28,50.39,701244.0
2017-09-26,51.88,52.12,52.43,51.43,709515.0
2017-09-27,52.14,52.09,52.34,51.63,637035.0
2017-09-28,51.56,52.05,52.86,51.22,801816.0
2017-09-29,51.67,51.58,51.77,51.25,551982.0
2017-09-30,51.31,51.6,51.75,50.86,568299.0
