Date,Close,Type
2016-03-29,2055.01,SP500
2016-03-30,2063.95,SP500
2016-03-31,2059.74,SP500
2016-04-01,2072.78,SP500
2016-04-04,2066.13,SP500
2016-04-05,2045.17,SP500
2016-04-06,2066.66,SP500
2016-04-07,2041.91,SP500
2016-04-08,2047.6,SP500
2016-04-11,2041.99,SP500
2016-04-12,2061.72,SP500
2016-04-13,2082.42,SP500
2016-04-14,2082.78,SP500
2016-04-15,2080.73,SP500
2016-04-18,2094.34,SP500
2016-04-19,2100.8,SP500
2016-04-20,2102.4,SP500
2016-04-21,2091.48,SP500
2016-04-22,2091.58,SP500
2016-04-25,2087.79,SP500
2016-04-26,2091.7,SP500
2016-04-27,2095.15,SP500
2016-04-28,2075.81,SP500
2016-04-29,2065.3,SP500
2016-05-02,2081.43,SP500
2016-05-03,2063.37,SP500
2016-05-04,2051.12,SP500
2016-05-05,2050.63,SP500
2016-05-06,2057.14,SP500
2016-05-09,2058.69,SP500
2016-05-10,2084.39,SP500
2016-05-11,2064.46,SP500
2016-05-12,2064.11,SP500
2016-05-13,2046.61,SP500
2016-05-16,2066.66,SP500
2016-05-17,2047.21,SP500
2016-05-18,2047.63,SP500
2016-05-19,2040.04,SP500
2016-05-20,2052.32,SP500
2016-05-23,2048.04,SP500
2016-05-24,2076.06,SP500
2016-05-25,2090.54,SP500
2016-05-26,2090.1,SP500
2016-05-27,2099.06,SP500
2016-05-31,2096.95,SP500
2016-06-01,2099.33,SP500
2016-06-02,2105.26,SP500
2016-06-03,2099.13,SP500
2016-06-06,2109.41,SP500
2016-06-07,2112.13,SP500
2016-06-08,2119.12,SP500
2016-06-09,2115.48,SP500
2016-06-10,2096.07,SP500
2016-06-13,2079.06,SP500
2016-06-14,2075.32,SP500
2016-06-15,2071.5,SP500
2016-06-16,2077.99,SP500
2016-06-17,2071.22,SP500
2016-06-20,2083.25,SP500
2016-06-21,2088.9,SP500
2016-06-22,2085.45,SP500
2016-06-23,2113.32,SP500
2016-06-24,2037.41,SP500
2016-06-27,2000.54,SP500
2016-06-28,2036.09,SP500
2016-06-29,2070.77,SP500
2016-06-30,2098.86,SP500
2016-07-01,2102.95,SP500
2016-07-05,2088.55,SP500
2016-07-06,2099.73,SP500
2016-07-07,2097.9,SP500
2016-07-08,2129.9,SP500
2016-07-11,2137.16,SP500
2016-07-12,2152.14,SP500
2016-07-13,2152.43,SP500
2016-07-14,2163.75,SP500
2016-07-15,2161.74,SP500
2016-07-18,2166.89,SP500
2016-07-19,2163.78,SP500
2016-07-20,2173.02,SP500
2016-07-21,2165.17,SP500
2016-07-22,2175.03,SP500
2016-07-25,2168.48,SP500
2016-07-26,2169.18,SP500
2016-07-27,2166.58,SP500
2016-07-28,2170.06,SP500
2016-07-29,2173.6,SP500
2016-08-01,2170.84,SP500
2016-08-02,2157.03,SP500
2016-08-03,2163.79,SP500
2016-08-04,2164.25,SP500
2016-08-05,2182.87,SP500
2016-08-08,2180.89,SP500
2016-08-09,2181.74,SP500
2016-08-10,2175.49,SP500
2016-08-11,2185.79,SP500
2016-08-12,2184.05,SP500
2016-08-15,2190.15,SP500
