Date,Close,Open,High,Low,Volume,n-transactions,interest,Type
2016-04-22,446.78,443.76,452.8,441.3,6870.06,210976.0,3.0,BTC
2016-04-23,447.23,446.78,449.68,443.91,7682.26,213172.0,3.0,BTC
2016-04-24,455.15,447.23,457.14,445.72,8494.45,215368.0,3.0,BTC
2016-04-25,458.63,455.15,460.97,450.29,9306.65,217564.0,3.0,BTC
2016-04-26,464.43,458.63,469.28,455.96,7344.64,217564.0,3.0,BTC
2016-04-27,466.06,464.43,470.16,462.44,10691.12,217564.0,3.0,BTC
2016-04-28,441.3,466.06,468.48,435.28,7939.68,247957.0,3.0,BTC
2016-04-29,446.24,441.3,450.65,438.48,5909.5,247957.0,3.0,BTC
2016-04-30,454.38,446.24,456.89,446.22,6436.56,229114.67,3.33,BTC
2016-05-01,449.11,454.38,455.24,447.84,6963.63,210272.33,3.67,BTC
2016-05-02,453.07,449.11,453.5,448.94,7490.69,191430.0,4.0,BTC
2016-05-03,443.68,453.07,453.23,439.89,5775.57,191430.0,4.0,BTC
2016-05-04,449.16,443.68,451.44,443.68,4753.32,233691.0,4.0,BTC
2016-05-05,447.74,449.16,450.23,445.44,5325.87,233691.0,4.0,BTC
2016-05-06,447.59,447.74,449.47,445.83,6193.93,233691.0,4.0,BTC
2016-05-07,458.86,447.59,462.76,447.35,6041.76,223148.0,4.0,BTC
2016-05-08,459.94,458.86,461.74,457.96,5889.58,212605.0,4.0,BTC
2016-05-09,458.71,459.94,460.48,456.15,5737.41,202062.0,4.0,BTC
2016-05-10,460.95,458.71,464.21,457.14,4304.4,245721.0,4.0,BTC
2016-05-11,454.39,460.95,461.21,447.76,4844.47,245721.0,4.0,BTC
2016-05-12,451.16,454.39,454.94,450.83,6050.97,245721.0,4.0,BTC
2016-05-13,453.7,451.16,455.12,447.73,5241.18,232146.0,4.0,BTC
2016-05-14,456.04,453.7,457.04,452.39,5468.71,234700.33,4.0,BTC
2016-05-15,456.09,456.04,456.48,453.83,5696.23,237254.67,4.0,BTC
2016-05-16,457.64,456.09,458.87,455.32,5923.76,239809.0,4.0,BTC
2016-05-17,454.28,457.64,457.93,451.33,5953.21,239809.0,4.0,BTC
2016-05-18,454.06,454.28,454.81,452.3,5391.97,239809.0,4.0,BTC
2016-05-19,453.49,454.06,455.73,453.24,7798.06,219145.0,4.0,BTC
2016-05-20,440.23,453.49,454.08,435.62,7675.16,219145.0,4.0,BTC
2016-05-21,442.95,440.23,444.08,439.43,6964.32,207546.0,4.0,BTC
2016-05-22,442.89,442.95,443.71,439.29,6253.47,195947.0,4.0,BTC
2016-05-23,440.55,442.89,443.15,438.0,5542.63,184348.0,4.0,BTC
2016-05-24,444.49,440.55,444.76,440.55,6001.0,184348.0,4.0,BTC
2016-05-25,447.04,444.49,447.07,443.76,6037.6,247841.0,4.0,BTC
