Date,BTC_Close,BTC_Volume,BTC_transactions,BTC_interesst,gold_Close,gold_Volume,gold_Chg%,oil_Close,oil_Volume,VIX_Close,SP500_Close index
2015-09-15,230.51091,6953.11,146048.0,2,1164.5,10.0,-0.0044,44.59,335953.0,22.54,1978.09
2015-09-16,230.98066,7866.47,167269.0,2,1180.3,0.0,0.0134,47.150002,421981.0,21.35,1995.31
2015-09-17,229.58975,7532.78,167269.0,2,1178.9,10.0,-0.0012,46.900002,366390.0,21.14,1990.2
2015-09-18,233.2385,4579.73,167269.0,2,1198.2,60.0,0.0161,44.68,211301.0,22.28,1958.03
2015-09-21,230.75433,7630.98,114851.0,2,1193.5,0.0,-0.0039000000000000003,46.68,104528.0,20.14,1966.97
2015-09-22,227.79358,8827.76,136784.0,2,1183.7,40.0,-0.008100000000000001,45.830002,345875.0,22.44,1942.74
2015-09-23,231.30983,6307.83,136784.0,2,1190.4,30.0,0.005600000000000001,44.48,411957.0,22.13,1938.76
2015-09-24,231.09508,9095.34,136784.0,2,1211.0,40.0,0.0171,44.91,371976.0,23.47,1932.24
2015-09-25,233.74475,6468.71,128166.0,2,1202.9,60.0,-0.0066,45.700001,338622.0,23.62,1931.34
2015-09-28,237.21116,7962.86,138570.0,2,1188.5,10.0,-0.0118,44.43,273906.0,27.63,1881.77
2015-09-29,238.56625,6880.33,138570.0,2,1183.2,2420.0,-0.0044,45.23,265176.0,26.83,1884.09
2015-09-30,238.06125,5549.05,138570.0,2,1167.7,870.0,-0.0129,45.09,355853.0,24.5,1920.03
2015-10-01,237.15191,5670.97,134327.0,2,1166.2,1180.0,-0.0013,44.740002,478979.0,22.55,1923.82
2015-10-02,238.06358,5947.95,134327.0,2,1188.3,320.0,0.0187,45.540001,420740.0,20.94,1951.36
2015-10-05,238.82433,7420.58,103531.0,2,1187.6,230.0,-0.0006,46.259998,323061.0,19.54,1987.05
2015-10-06,240.63075,9347.01,103531.0,2,1195.4,150.0,0.006500000000000001,48.529999,453101.0,19.4,1979.92
2015-10-07,246.49633,9035.05,134931.0,2,1198.1,100.0,0.0022,47.810001,547488.0,18.4,1995.83
2015-10-08,244.49816,5358.51,134931.0,2,1194.0,140.0,-0.0034000000000000002,49.43,509760.0,17.42,2013.43
2015-10-09,243.25675,4999.71,134931.0,2,1206.5,20.0,0.0103,49.630001,508680.0,17.08,2014.89
2015-10-12,247.65041,5328.43,127005.0,2,1215.2,40.0,0.0070999999999999995,47.099998,408663.0,16.17,2017.46
2015-10-13,244.57641,6471.08,134878.0,2,1215.8,130.0,0.0005,46.66,465388.0,17.67,2003.69
2015-10-14,249.45908,7542.42,134878.0,2,1227.7,140.0,0.0097,46.639999,348241.0,18.03,1994.24
2015-10-15,254.64216,6623.1,134878.0,2,1235.5,140.0,0.0063,46.380001,370940.0,16.05,2023.86
2015-10-16,255.72741,9104.56,143286.0,2,1230.7,240.0,-0.0038,47.259998,198127.0,15.05,2033.11
2015-10-19,264.98625,5238.97,143969.0,2,1220.4,60.0,-0.0083,45.889999,125840.0,14.98,2033.66
2015-10-20,264.92575,4652.97,143969.0,2,1225.0,20.0,0.0037,45.549999,361314.0,15.75,2030.77
2015-10-21,270.49541,6098.22,143969.0,2,1213.8,40.0,-0.009000000000000001,45.200001,384288.0,16.7,2018.94
2015-10-22,267.46908,8714.9,147402.0,2,1212.3,50.0,-0.0012,45.380001,322742.0,14.45,2052.51
2015-10-23,274.25325,7054.48,147402.0,2,1208.3,150.0,-0.0077,44.599998,406577.0,14.46,2075.15
2015-10-26,284.286,7565.99,131488.0,2,1209.9,180.0,0.0013,43.98,302084.0,15.29,2071.18
2015-10-27,287.83091,10888.35,131488.0,2,1207.8,300.0,-0.0017000000000000001,43.200001,370825.0,15.43,2065.89
2015-10-28,300.53566,16005.21,160175.0,2,1218.9,0.0,0.0091,45.939999,521518.0,14.33,2090.35
2015-10-29,304.32691,12145.79,160175.0,2,1191.4,330.0,-0.022400000000000003,46.060001,436513.0,14.61,2089.41
2015-10-30,326.55691,16267.3,160175.0,2,1184.8,250.0,-0.0055000000000000005,46.59,363307.0,15.07,2079.36
2015-11-02,325.64666,19347.78,155400.0,3,1180.0,180.0,-0.004,46.139999,305518.0,14.15,2104.05
2015-11-03,369.51133,40259.65,186362.0,3,1158.2,190.0,-0.0183,47.900002,434574.0,14.54,2109.79
2015-11-04,432.46133,49326.81,186362.0,3,1150.8,140.0,-0.0063,46.32,459307.0,15.51,2102.31
